,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
0,5,5,4,3,2,20,3,5,1,1,2,20
1,6,2,1,3,1,4,1,2,1,1,1,4
2,7,16,9,35,12,24,5,1,4,1,3,35
3,13,325,36,780,323,323,30,13,5,1,6,780
4,14,8,1,8,3,21,2,2,2,1,1,21
5,15,4,1,4,1,15,2,1,2,1,1,15
6,21,4,3,7,2,12,1,1,2,3,1,12
7,22,50,49,33,35,140,3,2,5,1,7,140
8,23,24336,17689,80155,20748,41496,3485,1,156,1,133,80155
9,29,4901,4900,99,910,52780,99,29,13,1,70,52780
10,30,3,2,5,1,12,1,3,1,2,1,12
11,31,1600,81,720,287,8897,360,1,40,1,9,8897
12,34,9,8,17,6,24,1,1,3,2,2,24
13,37,777925,1764,450660,777923,777923,6090,37,145,1,42,777923
14,38,1250,289,1700,279,5301,425,2,25,1,17,5301
15,39,13,12,5,2,156,5,13,1,3,2,156
16,41,25,16,123,20,40,3,1,5,1,4,123
17,46,72,49,253,42,168,11,2,6,1,7,253
18,47,14561856,2289169,11547216,2097655,98589785,5773608,1,3816,1,1513,98589785
19,53,1873180325,1158313156,1472112483,202332130,21447205780,1472112483,53,5945,1,34034,21447205780
20,55,125,44,1100,117,117,10,5,5,11,2,1100
21,61,12079525,10227204,6428003,1423110,173619420,6428003,61,445,1,3198,173619420
22,62,39200,22801,177537,21140,84560,5727,2,140,1,151,177537
23,65,9,4,65,6,12,1,1,3,1,2,65
24,69,192,169,437,104,624,19,3,8,1,13,624
25,70,7,2,28,3,15,1,7,1,2,1,28
26,71,3600,121,1320,427,30317,660,1,60,1,11,30317
27,77,2816,2809,525,848,18656,75,11,16,1,53,18656
28,78,26,1,52,15,45,1,26,1,1,1,52
29,79,169000000,166952241,233126551,167973000,335946000,2950969,1,13000,1,12921,335946000
30,85,85,36,77,6,1020,77,85,1,1,6,1020
31,86,338,49,364,51,2193,91,2,13,1,7,2193
32,87,17956,169,3484,1925,167475,1742,1,134,1,13,167475
33,93,1444,75,1140,259,8029,190,1,38,3,5,8029
34,94,14112,529,7728,2057,96679,1932,2,84,1,23,96679
35,95,1445,76,6460,1443,1443,34,5,17,19,2,6460
36,101,44715091781,3975302500,267980280100,44538033219,44538033219,1326635050,101,21041,1,63050,267980280100
37,102,50,1,20,7,357,5,2,5,1,1,357
